index,V1_0-4,V1_5-15,V1_16-19,V1_20-59,V1_60+,V1_Risk_16-19,V1_Risk_20-59,V1_Risk_60+,V1_Clinical,V1_Crowded,V1_Disabled,V1_Edu,V1_Ethnic,V1_Factory,V1_Frontline,V1_Healthcare,V1_Military,V1_Shielding,V1_Police,V1_Pregnant,V1_PrimaryStu,V1_Religious,V1_Residents,V1_CareStaff,V1_TertiaryStu,V3_0-4,V3_5-19,V3_20-59,V3_60+,V3_Risk_16-19,V3_Risk_20-59,V3_Risk_60+,V3_Airport,V3_Clinically,V3_EduStu,V3_HighContact,V3_Multi,V3_Pregnant,V3_PrimaryStu,V1_IssuePoint,V2_H7_IssuePoint,V3_IssuePoint,VacCategory,VacDailySmoothed,CHI,GRI,SI,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,weekly_cases,biweekly_cases,reproduction_rate,daily_ people_1_dose,total_vaccinations,people_1_dose,people_2_doses,people_boosters,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
20210103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,321429,77.02,75.21,78.24,33,24.857,0,0,174,298,0.96,,,,,,,,
20210104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,366071,77.02,75.21,78.24,33,25.714,0,0,180,316,1,,,,,,,,
20210105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,410714,77.02,75.21,78.24,32,26.857,0,0,188,333,1.04,,,,,,,,
20210106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,455357,77.02,75.21,78.24,63,32.286,0,0,226,379,1.09,,,,,,,,
20210107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,500000,77.02,75.21,78.24,53,37.143,0,0,260,418,1.14,,,,,,,,
20210108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,500000,77.02,75.21,78.24,33,39.286,0,0,275,431,1.19,,,,,,,,
20210109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,500000,77.02,75.21,78.24,69,45.143,0,0,316,478,1.26,,9000000,,,,,,
20210110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,464286,77.02,75.21,78.24,103,55.143,0,0,386,560,1.31,,,,,,,,
20210111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,428571,77.02,75.21,78.24,55,58.286,0,0,408,588,1.34,,,,,,,,
20210112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,392857,77.02,75.21,78.24,115,70.143,0,0,491,679,1.4,,,,,,,,
20210113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,357143,77.02,75.21,78.24,138,80.857,1,0.143,566,792,1.41,,10000000,,,,,,
20210114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,387755,77.02,75.21,78.24,144,93.857,0,0.143,657,917,1.38,,,,,,,,
20210115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,418367,77.02,75.21,78.24,130,107.714,0,0.143,754,1029,1.35,,,,,,,,
